candidate_id,rank,score,semantic_score,career_velocity_bonus,expected_roi,junior_title_flag,cv_speech_robotics_flag,langchain_only_flag,reasoning
CAND_0018499,1,139.344,0.883,2.5,Standard,False,False,False,"Outstanding candidate with 7.2 YOE, currently in a relevant domain role as Senior Machine Learning Engineer at Zomato. Demonstrates deep expertise in core technologies like Pinecone, Milvus, Learning to Rank. Strong track record at product engineering firms. Strong availability with immediate 15-day notice. Currently based in Noida."
CAND_0081846,2,138.546,1.000,2.5,Standard,False,False,False,"Outstanding candidate with 6.7 YOE, currently in a relevant domain role as Lead AI Engineer at Razorpay. Demonstrates deep expertise in core technologies like Elasticsearch, Learning to Rank, Embeddings. Strong track record at product engineering firms. Strong availability with immediate 30-day notice. Currently based in Jaipur."
CAND_0064326,3,132.248,0.546,0.0,High ROI (Bargain),False,False,False,"Outstanding candidate with 7.6 YOE, currently in a relevant domain role as Search Engineer at Sarvam AI. Demonstrates deep expertise in core technologies like Milvus, PyTorch, RAG. Strong track record at product engineering firms. Strong availability with 45-day notice period. Currently based in Gurgaon."
CAND_0039754,4,130.401,0.953,0.0,High ROI (Bargain),False,False,False,"Outstanding candidate with 16.2 YOE, currently in a relevant domain role as Senior Applied Scientist at Meta. Demonstrates deep expertise in core technologies like Elasticsearch, Qdrant, Fine-tuning LLMs. Strong track record at product engineering firms. Strong availability with immediate 30-day notice. Currently based in Indore."
CAND_0077337,5,125.908,0.826,2.5,Standard,False,False,False,"Outstanding candidate with 7.0 YOE, currently in a relevant domain role as Staff Machine Learning Engineer at Paytm. Demonstrates deep expertise in core technologies like Pinecone, RAG, QLoRA. Strong track record at product engineering firms. Strong availability with 60-day notice period. Currently based in Kochi."
CAND_0041669,6,119.496,0.518,0.0,High ROI (Bargain),False,False,False,"Outstanding candidate with 8.0 YOE, currently in a relevant domain role as Recommendation Systems Engineer at CRED. Demonstrates deep expertise in core technologies like FAISS, Milvus, PEFT. Strong track record at product engineering firms. Strong availability with 60-day notice period. Currently based in Noida."
CAND_0011687,7,118.125,0.770,0.0,High ROI (Bargain),False,False,False,"Outstanding candidate with 7.8 YOE, currently in a relevant domain role as Senior NLP Engineer at Niramai. Demonstrates deep expertise in core technologies like TensorFlow, FAISS, PEFT. Strong track record at product engineering firms. Strong availability with immediate 15-day notice. Currently based in Indore."
CAND_0068351,8,117.337,0.515,2.5,Standard,False,False,False,"Outstanding candidate with 6.4 YOE, currently in a relevant domain role as Lead AI Engineer at Sarvam AI. Demonstrates deep expertise in core technologies like Qdrant, Elasticsearch, LoRA. Strong track record at product engineering firms. Strong availability with immediate 0-day notice. Currently based in Delhi."
CAND_0046525,9,113.260,0.819,0.0,Standard,False,False,False,"Outstanding candidate with 6.1 YOE, currently in a relevant domain role as Senior Machine Learning Engineer at Genpact AI. Demonstrates deep expertise in core technologies like TensorFlow, Qdrant, Elasticsearch. Strong track record at product engineering firms. Strong availability with 60-day notice period. Currently based in Pune."
CAND_0008295,10,113.194,0.285,0.0,High ROI (Bargain),False,False,False,"Outstanding candidate with 6.5 YOE, currently in a relevant domain role as AI Research Engineer at Razorpay. Demonstrates deep expertise in core technologies like Weaviate, Kubernetes, QLoRA. Strong track record at product engineering firms. Strong availability with 45-day notice period. Currently based in Pune."
CAND_0080766,11,112.798,0.660,2.5,Standard,False,False,False,"Outstanding candidate with 8.8 YOE, currently in a relevant domain role as Staff Machine Learning Engineer at Salesforce. Demonstrates deep expertise in core technologies like Elasticsearch, LoRA, TensorFlow. Strong track record at product engineering firms. Strong availability with immediate 0-day notice. Currently based in Coimbatore."
CAND_0041610,12,108.271,0.512,0.0,Standard,False,False,False,"Outstanding candidate with 6.7 YOE, currently in a relevant domain role as Recommendation Systems Engineer at Zoho. Demonstrates deep expertise in core technologies like Elasticsearch, LoRA, Learning to Rank. Strong track record at product engineering firms. Strong availability with immediate 30-day notice. Currently based in Indore."
CAND_0086022,13,106.837,0.805,0.0,Standard,False,False,False,"Outstanding candidate with 5.3 YOE, currently in a relevant domain role as Senior Applied Scientist at Sarvam AI. Demonstrates deep expertise in core technologies like Elasticsearch, LoRA, TensorFlow. Strong track record at product engineering firms. Strong availability with immediate 0-day notice. Currently based in Kolkata."
CAND_0068932,14,106.501,0.288,0.0,High ROI (Bargain),False,False,False,"Outstanding candidate with 5.2 YOE, currently in a relevant domain role as ML Engineer at Krutrim. Demonstrates deep expertise in core technologies like OpenSearch, RAG, Milvus. Strong track record at product engineering firms. Strong availability with immediate 30-day notice. Currently based in Noida."
CAND_0098454,15,105.238,0.276,0.0,High ROI (Bargain),False,False,False,"Outstanding candidate with 6.6 YOE, currently in a relevant domain role as AI Specialist at Meesho. Demonstrates deep expertise in core technologies like Weaviate, Pinecone, OpenSearch. Strong track record at product engineering firms. Strong availability with 60-day notice period. Currently based in Indore."
CAND_0070525,16,105.084,0.291,0.0,Standard,False,False,False,"Solid Senior Software Engineer (ML) with 5.4 YOE, currently at Mad Street Den matching the senior engineering profile. Has hands-on experience utilizing Embeddings. Product-focused experience aligns well. Logistics: 45-day notice period. Currently based in Hyderabad."
