candidate_id,rank,score,career_velocity_bonus,expected_roi,reasoning
CAND_0064326,1,156.813,0.0,High ROI (Bargain),"Outstanding candidate with 7.6 YOE, currently in a relevant domain role as Search Engineer at Sarvam AI. Demonstrates deep expertise in core technologies like scikit-learn, PyTorch, RAG. Strong track record at product engineering firms. Strong availability with 45-day notice period. Currently based in Gurgaon."
CAND_0018499,2,150.561,2.5,Standard,"Outstanding candidate with 7.2 YOE, currently in a relevant domain role as Senior Machine Learning Engineer at Zomato. Demonstrates deep expertise in core technologies like scikit-learn, RAG, QLoRA. Strong track record at product engineering firms. Strong availability with immediate 15-day notice. Currently based in Noida."
CAND_0043860,3,147.797,0.0,High ROI (Bargain),"Outstanding candidate with 6.1 YOE, currently in a relevant domain role as Junior ML Engineer at Aganitha. Demonstrates deep expertise in core technologies like PyTorch, Qdrant. Strong track record at product engineering firms. Strong availability with immediate 30-day notice. Currently based in Bhubaneswar."
CAND_0008295,4,144.781,0.0,High ROI (Bargain),"Outstanding candidate with 6.5 YOE, currently in a relevant domain role as AI Research Engineer at Razorpay. Demonstrates deep expertise in core technologies like Kubernetes, Weaviate, PEFT. Strong track record at product engineering firms. Strong availability with 45-day notice period. Currently based in Pune."
CAND_0041669,5,143.389,0.0,High ROI (Bargain),"Outstanding candidate with 8.0 YOE, currently in a relevant domain role as Recommendation Systems Engineer at CRED. Demonstrates deep expertise in core technologies like PEFT, QLoRA, Weaviate. Strong track record at product engineering firms. Strong availability with 60-day notice period. Currently based in Noida."
CAND_0081846,6,142.517,2.5,Standard,"Outstanding candidate with 6.7 YOE, currently in a relevant domain role as Lead AI Engineer at Razorpay. Demonstrates deep expertise in core technologies like scikit-learn, PyTorch, Learning to Rank. Strong track record at product engineering firms. Strong availability with immediate 30-day notice. Currently based in Jaipur."
CAND_0068932,7,133.878,0.0,High ROI (Bargain),"Outstanding candidate with 5.2 YOE, currently in a relevant domain role as ML Engineer at Krutrim. Demonstrates deep expertise in core technologies like scikit-learn, RAG, OpenSearch. Strong track record at product engineering firms. Strong availability with immediate 30-day notice. Currently based in Noida."
CAND_0098454,8,133.680,0.0,High ROI (Bargain),"Outstanding candidate with 6.6 YOE, currently in a relevant domain role as AI Specialist at Meesho. Demonstrates deep expertise in core technologies like Weaviate, OpenSearch, Pinecone. Strong track record at product engineering firms. Strong availability with 60-day notice period. Currently based in Indore."
CAND_0070525,9,133.154,0.0,Standard,"Outstanding candidate with 5.4 YOE, currently in a relevant domain role as Senior Software Engineer (ML) at Mad Street Den. Demonstrates deep expertise in core technologies like Embeddings. Strong track record at product engineering firms. Strong availability with 45-day notice period. Currently based in Hyderabad."
CAND_0077337,10,133.114,2.5,Standard,"Outstanding candidate with 7.0 YOE, currently in a relevant domain role as Staff Machine Learning Engineer at Paytm. Demonstrates deep expertise in core technologies like RAG, QLoRA, OpenSearch. Strong track record at product engineering firms. Strong availability with 60-day notice period. Currently based in Kochi."
CAND_0004402,11,130.774,0.0,Standard,"Outstanding candidate with 6.0 YOE, currently in a relevant domain role as AI Research Engineer at Yellow.ai. Demonstrates deep expertise in core technologies like PyTorch, PEFT, Fine-tuning LLMs. Strong track record at product engineering firms. Strong availability with 60-day notice period. Currently based in Delhi."
CAND_0068351,12,129.998,2.5,Standard,"Outstanding candidate with 6.4 YOE, currently in a relevant domain role as Lead AI Engineer at Sarvam AI. Demonstrates deep expertise in core technologies like Elasticsearch, PEFT, Qdrant. Strong track record at product engineering firms. Strong availability with immediate 0-day notice. Currently based in Delhi."
